data,titolo,autore,autore_json,citazione,commento,youtube,spotify
2026-01-01,,,,, 1 gennaio — morte di Giorgio Gaber (2003),,
2026-01-25,,,,, 25 gennaio — nascita di Giorgio Gaber (1939),,
2026-01-26,La Morte,Fabrizio De André,fabrizio_deandre,,26 gennaio — anniversario della morte di Fabrizio De André (1999),https://www.youtube.com/watch?v=uxXijewgmAY,https://open.spotify.com/track/6erGCnblurVdvW1fRHSw9E
2026-01-27,Auschwitz (La canzone del bambino nel vento),Francesco Guccini,francesco_guccini,,27 gennaio — Giorno della Memoria,https://www.youtube.com/watch?v=krsp726YPAk,https://open.spotify.com/track/4d5T5maYQCq7OChCiNjcte
2026-01-27,Ciao amore ciao,Luigi Tenco,luigi_tenco,,Ciao amore ciao fu l'ultima canzone di Luigi Tenco presentata al 17° Festival di Sanremo nel Gennaio 1967,https://www.youtube.com/watch?v=TB-9jtUH4hE,https://open.spotify.com/track/388Rzi0ggGLhG20fZnssLS
2026-02-18,,,,, 18 febbraio — nascita di Fabrizio De André (1940),,
2026-03-01,,,,, 1 marzo — morte di Lucio Dalla (2012),,
2026-03-04,4 marzo 1943,Lucio Dalla,lucio_dalla,,4 marzo — nascita di Lucio Dalla (1943): la canzone prende il titolo dalla sua data di nascita,https://www.youtube.com/watch?v=IC73-TYnOck,https://open.spotify.com/track/0l5nPlf9UtAczeyviURsva
2026-03-05,,,,, 5 marzo — nascita di Lucio Battisti (1943),,
2026-03-17,Aida,Rino Gaetano,rino_gaetano,,17 marzo — anniversario dell'Unità d'Italia,https://www.youtube.com/watch?v=eQWh1eh0Bhs,https://open.spotify.com/track/7N1SQcqAkSvUgnlvrU0Et8
2026-03-20,Un chimico,Fabrizio De André,fabrizio_deandre,,20 marzo — inizio della primavera,https://www.youtube.com/watch?v=M6WdNC5kPTI,https://open.spotify.com/track/5PZaJIsWW4ZQtmpaX9c1yD
2026-03-21,,,,, 21 marzo — nascita di Luigi Tenco (1938),,
2026-03-23,,,,, 23 marzo — nascita di Franco Battiato (1945),,
2026-04-04,,,,, 4 aprile — nascita di Francesco De Gregori (1951),,
2026-04-25,Viva l'Italia,Francesco De Gregori,francesco_degregori,Viva l'Italia l'Italia liberata,25 aprile — Festa della Liberazione,https://www.youtube.com/watch?v=kMx2YGkKUqQ,https://open.spotify.com/track/6aQVKyPa0mUm6GLmey6x4P
2026-05-01,Fiore di maggio,Fabio Concato,fabio_concato,,1 maggio — Festa dei Lavoratori,https://www.youtube.com/watch?v=Z5GzSzkTAUI,https://open.spotify.com/track/2pWzPQ2lhuEE2sb3aPKMHX
2026-05-06,Khorakhanè (A forza di essere vento),Fabrizio De André,fabrizio_deandre,,6 maggio — E poi Mirka a San Giorgio di maggio,https://www.youtube.com/watch?v=7BwZdO-SILY,https://open.spotify.com/track/1vIIlm4WH8ymz70wyLZuR9
2026-05-18,,,,, 18 maggio — morte di Franco Battiato (2021),,
2026-05-31,,,,, 31 maggio — nascita di Fabio Concato (1953),,
2026-06-01,Giugno '73,Fabrizio De André,fabrizio_deandre,,1 giugno,https://www.youtube.com/watch?v=wDDcFTNktTk,https://open.spotify.com/track/0tlsSbAswQAUW02AWE26Fz
2026-06-02,,,,, 2 giugno — morte di Rino Gaetano (1981),,
2026-06-14,,,,, 14 giugno — nascita di Francesco Guccini (1940),,
2026-06-21,Canzone per l'estate,Fabrizio De André,fabrizio_deandre,,21 giugno — solstizio d'estate,https://www.youtube.com/watch?v=88ngD93edkw,https://open.spotify.com/track/0NwMnpzgCMQE0m1FEYpbct
